H,5,A000404,16052026,,00000000,,1,,16052026,,,16052026,06-HARYANA,0,0,,0,,,,,,,,,S,,2097,2097,WELL PHARMACY REWARI,,06BFIPA6867D1ZJ, 24.00 0.00 0 0.00 0   0.00#  0.00R0:0:0          NN1T    153.79NAN    5150.48#Y  0Y   3691.14 1N MZ   3844.92    108.73      0.00      0.00N     0.00      0.00      0.00,ZYNNNGCNPN1N1INN1MN,M ,2,GROVER MERKET,SHOP NO-1 REWARI,REWARI,0,0,,,,,,,,,,,<MARGERP FORMAT>
T,73,USV LIMITED,4876,,UDAPA GOLD 1 FORTE,1X10 TAB,,UGT25001,01042027,0,96.64,126.84,,0,2,0,0,7.73,0,0,185.55,2.5,4.64,0,0,2.5,4.64,0,0,3004,0,G,554896,,,MARG1022187,3004,UDAPA GOLD 1 FORTE,1X10 TAB,96.64,0,0,0,,            E MY N #      96.64A1        0CPN,,,,
T,73,USV LIMITED,4877,,UDAPA GOLD 2 FORTE,1X10 TAB,,UVT25002,01042027,0,103.2,135.45,,0,2,0,0,8.26,0,0,198.14,2.5,4.95,0,0,2.5,4.95,0,0,3004,0,G,554896,,,MARG1022188,3004,UDAPA GOLD 2 FORTE,1X10 TAB,103.2,0,0,0,,            E MY N #     103.20A1        0CPN,,,,
T,89,MANKIND-FUTURE,  4610,,GLIPTAGREAT-50,15 TABS,MKP,1A5Y004-,01052027,0,71.04,93.24,,0,5.5,0.5,0,15.63,0,0,375.09,2.5,9.38,0,0,2.5,9.38,0,0,3004,0,G,327616,,,MARG4610,3004,GLIPTAGREAT-50,15 TABS,71.04,0,0,0,,            E MY   #      71.04A1        0CPN,,,,
T,52,MANKIND PHARMA LTD,  4530,,AMLOKIND AT,1X15 TAB,MF,G65Z011,01122027,0,46.61,61.18,,0,5.5,0.5,0,10.25,0,0,246.11,2.5,6.15,0,0,2.5,6.15,0,0,3004,0,G,707943,,,MARG4530,3004,AMLOKIND AT,1X15 TAB,46.61,0,0,0,,            E MY N #      46.61A1        0CPN,,,,
T,72,SUN PHARMA-ORTUS,  4581,,PHOTOSTABLE GOLD,1X50GM,SP,SXH0130A,01062027,0,640.68,945,,0,1,0,0,25.63,0,0,615.05,9,55.35,0,0,9,55.35,0,0,3304,0,G,208608,,,MARG4581,3304,PHOTOSTABLE GOLD,1X50GM,640.68,0,0,0,,            E MY N #     640.68A1        0CPN,,,,
T,VKD,MANKIND-MAGNET,  4517,,NUROKIND FORTE Z,1X15 TAB,ML,K8AGY066,01042027,0,99.81,131,,0,2.5,0.5,0,9.98,0,0,239.55,2.5,5.99,0,0,2.5,5.99,0,0,3004,0,G,631157,,,MARG4517,3004,NUROKIND FORTE Z,1X15 TAB,99.81,0,0,0,,            E MY N #      99.81A1        0CPN,,,,
T,ACUO,EMCURE PHARMACEUTICALS LTD,  4505,,CARDACE H 5,1X15 TAB,SAL,5GAY004,01062028,0,343.95,451.44,,0,2,0,0,27.52,0,0,660.38,2.5,16.51,0,0,2.5,16.51,0,0,3004,0,G,189094,,,MARG4505,3004,CARDACE H 5,1X15 TAB,343.95,0,0,0,,            E MY N #     343.95A1        0CPN,,,,
T,72,SUN PHARMA-ORTUS,  4553,,DAZIT 10,1X15 TAB,SP,GTG3295A,01092027,0,208.6,273.75,,0,1,0,0,8.34,0,0,200.26,2.5,5.01,0,0,2.5,5.01,0,0,3004,0,G,680117,,,MARG4553,3004,DAZIT 10,1X15 TAB,208.6,0,0,0,,            E MY N #     208.60A1        0CPN,,,,
T,AKFC,SANOFI CONSUMER HC,  1154,,ENTROGERMINA,10X5ML,AS,5I522,01102027,0,568.6,746.2,,0,1,0,0,22.74,0,0,545.86,2.5,13.65,0,0,2.5,13.65,0,0,3002,0,G,13028,,,MARG1154,3002,ENTROGERMINA,10X5ML,568.6,0,0,0,,            E MY N #     568.60A1        0CPN,,,,
T,73,USV LIMITED,  4033,,JANUMET XR CP,14 S,MSD,8791091A,01032027,0,221.43,290.63,,0,2,0,0,17.71,0,0,425.15,2.5,10.63,0,0,2.5,10.63,0,0,3004,0,G,88423,,,MARG4033,3004,JANUMET XR CP,14 S,221.43,0,0,0,,            E MY N #     221.43A1        0CPN,,,,
F,3956,153.79,0,0,0,0,,0,264.52,
